Type-Aware,Library,FunctionId,Runtime of body analysis,Date
Yes,seaborn,seaborn/palettes/crayon_palette,0.0009815692901611328,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/cubehelix_palette,0.0029964447021484375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/_parse_cubehelix_args,0.0019974708557128906,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/palettes/set_color_codes,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/set_theme,0.0009982585906982422,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/set,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/reset_defaults,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/reset_orig,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/axes_style,0.004996538162231445,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/set_style,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/plotting_context,0.002996683120727539,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/set_context,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/_RCAesthetics/__enter__,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/_RCAesthetics/__exit__,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/_RCAesthetics/__call__,0.0010356903076171875,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/rcmod/set_palette,0.0005211830139160156,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_LinearPlotter/establish_variables,0.0015778541564941406,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_LinearPlotter/dropna,0.0009984970092773438,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_LinearPlotter/plot,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/__init__,0.0029969215393066406,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/scatter_data,0.0010166168212890625,2025-02-27 15:41:22.555765
