Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,safeds,safeds.data.tabular.containers._table,1363,8,NameExpr,,,Any,2025-04-08 14:05:45.484829
Yes,safeds,safeds.data.tabular.containers._table,1363,20,NameExpr,,,Any,2025-04-08 14:05:45.485828
Yes,safeds,safeds.data.tabular.containers._table,1363,36,CallExpr,,,,2025-04-08 14:05:45.486827
Yes,safeds,safeds.data.tabular.containers._table,1363,36,MemberExpr,,,,2025-04-08 14:05:45.486935
Yes,safeds,safeds.data.tabular.containers._table,1363,45,NameExpr,,,Any,2025-04-08 14:05:45.486935
Yes,safeds,safeds.data.tabular.containers._table,1365,55,NameExpr,,,Any,2025-04-08 14:05:45.487934
Yes,safeds,safeds.data.tabular.containers._table,1549,8,NameExpr,,,Any,2025-04-08 14:05:45.595603
Yes,safeds,safeds.data.tabular.containers._table,1550,8,MemberExpr,,,Any,2025-04-08 14:05:45.597732
Yes,safeds,safeds.data.tabular.containers._table,1550,8,NameExpr,,,Any,2025-04-08 14:05:45.597732
Yes,safeds,safeds.data.tabular.containers._table,1551,44,NameExpr,,,Any,2025-04-08 14:05:45.599746
Yes,safeds,safeds.data.tabular.containers._table,1598,25,CallExpr,,,,2025-04-08 14:05:45.612164
Yes,safeds,safeds.data.tabular.containers._table,1598,25,MemberExpr,,,,2025-04-08 14:05:45.613181
Yes,safeds,safeds.data.tabular.containers._table,1645,22,CallExpr,,,,2025-04-08 14:05:45.633664
Yes,safeds,safeds.data.tabular.containers._table,1645,22,MemberExpr,,,,2025-04-08 14:05:45.634658
Yes,safeds,safeds.data.tabular.containers._table,1793,26,,,,,2025-04-08 14:05:45.703705
Yes,safeds,safeds.data.tabular.containers._table,1901,12,CallExpr,,,,2025-04-08 14:05:45.730283
Yes,safeds,safeds.data.tabular.containers._table,1901,12,MemberExpr,,,,2025-04-08 14:05:45.731266
Yes,safeds,safeds.data.tabular.containers._table,1907,16,CallExpr,,,,2025-04-08 14:05:45.731266
Yes,safeds,safeds.data.tabular.containers._table,1907,16,MemberExpr,,,,2025-04-08 14:05:45.732265
Yes,safeds,safeds.data.tabular.containers._table,1914,16,NameExpr,,,Any,2025-04-08 14:05:45.732265
Yes,safeds,safeds.data.tabular.containers._table,1914,22,CallExpr,,,,2025-04-08 14:05:45.733264
Yes,safeds,safeds.data.tabular.containers._table,1914,22,MemberExpr,,,,2025-04-08 14:05:45.733264
Yes,safeds,safeds.data.tabular.containers._table,1915,16,CallExpr,,,,2025-04-08 14:05:45.733264
Yes,safeds,safeds.data.tabular.containers._table,1915,16,MemberExpr,,,,2025-04-08 14:05:45.734396
Yes,safeds,safeds.data.tabular.containers._table,1917,25,UnaryExpr,,,,2025-04-08 14:05:45.734396
Yes,safeds,safeds.data.tabular.containers._table,1923,16,CallExpr,,,,2025-04-08 14:05:45.735398
Yes,safeds,safeds.data.tabular.containers._table,1923,16,MemberExpr,,,,2025-04-08 14:05:45.736394
Yes,safeds,safeds.data.tabular.containers._table,1906,17,CallExpr,,,,2025-04-08 14:05:45.737394
Yes,safeds,safeds.data.tabular.containers._table,1906,17,MemberExpr,,,,2025-04-08 14:05:45.737394
Yes,safeds,safeds.data.tabular.containers._table,1925,12,NameExpr,,,Any,2025-04-08 14:05:45.738392
Yes,safeds,safeds.data.tabular.containers._table,1925,18,CallExpr,,,,2025-04-08 14:05:45.738392
Yes,safeds,safeds.data.tabular.containers._table,1925,18,MemberExpr,,,,2025-04-08 14:05:45.739497
Yes,safeds,safeds.data.tabular.containers._table,1926,12,CallExpr,,,,2025-04-08 14:05:45.739497
Yes,safeds,safeds.data.tabular.containers._table,1926,12,MemberExpr,,,,2025-04-08 14:05:45.740514
Yes,safeds,safeds.data.tabular.containers._table,1928,21,UnaryExpr,,,,2025-04-08 14:05:45.741496
Yes,safeds,safeds.data.tabular.containers._table,1934,12,CallExpr,,,,2025-04-08 14:05:45.742494
Yes,safeds,safeds.data.tabular.containers._table,1934,12,MemberExpr,,,,2025-04-08 14:05:45.742494
Yes,safeds,safeds.data.tabular.containers._table,1936,17,CallExpr,,,,2025-04-08 14:05:45.743494
Yes,safeds,safeds.data.tabular.containers._table,1936,17,MemberExpr,,,,2025-04-08 14:05:45.743494
Yes,safeds,safeds.data.tabular.containers._table,1937,8,CallExpr,,,Any,2025-04-08 14:05:45.744493
Yes,safeds,safeds.data.tabular.containers._table,1937,8,MemberExpr,,,Any,2025-04-08 14:05:45.744615
Yes,safeds,safeds.data.tabular.containers._table,1938,8,CallExpr,,,,2025-04-08 14:05:45.745615
Yes,safeds,safeds.data.tabular.containers._table,1938,8,MemberExpr,,,,2025-04-08 14:05:45.745615
Yes,safeds,safeds.data.tabular.containers._table,1982,8,NameExpr,,,Any,2025-04-08 14:05:45.772254
Yes,safeds,safeds.data.tabular.containers._table,1982,14,CallExpr,,,,2025-04-08 14:05:45.772254
Yes,safeds,safeds.data.tabular.containers._table,1982,14,MemberExpr,,,,2025-04-08 14:05:45.773235
Yes,safeds,safeds.data.tabular.containers._table,1983,8,NameExpr,,,Any,2025-04-08 14:05:45.773235
Yes,safeds,safeds.data.tabular.containers._table,1983,13,CallExpr,,,,2025-04-08 14:05:45.773235
Yes,safeds,safeds.data.tabular.containers._table,1983,13,MemberExpr,,,,2025-04-08 14:05:45.774234
Yes,safeds,safeds.data.tabular.containers._table,1988,8,CallExpr,,,Any,2025-04-08 14:05:45.774234
Yes,safeds,safeds.data.tabular.containers._table,1988,8,MemberExpr,,,Any,2025-04-08 14:05:45.775333
Yes,safeds,safeds.data.tabular.containers._table,1989,8,CallExpr,,,Any,2025-04-08 14:05:45.775333
Yes,safeds,safeds.data.tabular.containers._table,1989,8,MemberExpr,,,Any,2025-04-08 14:05:45.775333
