Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,matplotlib,matplotlib.backend_tools,_add_tool,272,12,No,1,1,Found same amount of functions,self._add_tool.(),"NamedType(name='ToolSetCursor', qname='matplotlib.backend_tools.ToolSetCursor')",,2025-03-01 22:52:54.987731
Yes,matplotlib,matplotlib.backend_tools,__init__,322,8,Yes,9,166,,super.().__init__.(),matplotlib.backend_tools.ToolCursorPosition,,2025-03-01 22:52:54.996917
Yes,matplotlib,matplotlib.backend_tools,__init__,485,8,Yes,9,166,,super.().__init__.(),matplotlib.backend_tools.ToolViewsPositions,,2025-03-01 22:52:55.063968
Yes,matplotlib,matplotlib.backend_tools,__init__,655,8,Yes,4,390,,super.().__init__.(),matplotlib.backend_tools.ZoomPanBase,,2025-03-01 22:52:55.070080
Yes,matplotlib,matplotlib.backend_tools,__init__,729,8,Yes,3,390,,super.().__init__.(),matplotlib.backend_tools.ToolZoom,,2025-03-01 22:52:55.077306
Yes,matplotlib,matplotlib.backend_tools,__init__,850,8,Yes,3,390,,super.().__init__.(),matplotlib.backend_tools.ToolPan,,2025-03-01 22:52:55.086462
Yes,matplotlib,matplotlib.bezier,range,197,26,Yes,0,1,,range.(),builtins.range,,2025-03-01 22:52:55.089458
Yes,matplotlib,matplotlib.category,update,181,12,Yes,1,6,,self.update.(),"NamedType(name='UnitData', qname='matplotlib.category.UnitData')",,2025-03-01 22:52:55.097639
Yes,matplotlib,matplotlib.cm,set_norm,398,8,No,2,2,Found same amount of functions,self.set_norm.(),"NamedType(name='ScalarMappable', qname='matplotlib.cm.ScalarMappable')",,2025-03-01 22:52:55.099639
Yes,matplotlib,matplotlib.cm,set_cmap,400,8,Yes,2,3,,self.set_cmap.(),"NamedType(name='ScalarMappable', qname='matplotlib.cm.ScalarMappable')",,2025-03-01 22:52:55.100722
Yes,matplotlib,matplotlib.collections,make_keyword_only,77,5,No,0,1,No call reference,,None,,2025-03-01 22:52:55.104719
Yes,matplotlib,matplotlib.collections,__init__,156,8,Yes,72,390,,artist.Artist.__init__.(),matplotlib.artist,,2025-03-01 22:52:55.112965
Yes,matplotlib,matplotlib.collections,__init__,157,8,Yes,23,273,,cm.ScalarMappable.__init__.(),matplotlib.cm,,2025-03-01 22:52:55.120032
Yes,matplotlib,matplotlib.collections,to_rgba,170,28,Yes,1,2,,mcolors.to_rgba.(),matplotlib.colors,,2025-03-01 22:52:55.121140
Yes,matplotlib,matplotlib.collections,set_facecolor,171,8,No,0,4,Found no referenced functions,self.set_facecolor.(),ListType(types=[]),MemberExpr:171(  NameExpr(self [l])  set_facecolor) ,2025-03-01 22:52:55.122141
Yes,matplotlib,matplotlib.collections,set_edgecolor,172,8,No,0,3,Found no referenced functions,self.set_edgecolor.(),ListType(types=[]),MemberExpr:172(  NameExpr(self [l])  set_edgecolor) ,2025-03-01 22:52:55.123157
Yes,matplotlib,matplotlib.collections,set_linewidth,173,8,No,0,8,Found no referenced functions,self.set_linewidth.(),ListType(types=[]),MemberExpr:173(  NameExpr(self [l])  set_linewidth) ,2025-03-01 22:52:55.123157
Yes,matplotlib,matplotlib.collections,set_linestyle,174,8,No,0,3,Found no referenced functions,self.set_linestyle.(),ListType(types=[]),MemberExpr:174(  NameExpr(self [l])  set_linestyle) ,2025-03-01 22:52:55.124156
Yes,matplotlib,matplotlib.collections,set_antialiased,175,8,No,0,5,Found no referenced functions,self.set_antialiased.(),ListType(types=[]),MemberExpr:175(  NameExpr(self [l])  set_antialiased) ,2025-03-01 22:52:55.124156
Yes,matplotlib,matplotlib.collections,set_pickradius,176,8,No,0,3,Found no referenced functions,self.set_pickradius.(),ListType(types=[]),MemberExpr:176(  NameExpr(self [l])  set_pickradius) ,2025-03-01 22:52:55.125155
Yes,matplotlib,matplotlib.collections,set_urls,177,8,No,0,1,Found no referenced functions,self.set_urls.(),ListType(types=[]),MemberExpr:177(  NameExpr(self [l])  set_urls) ,2025-03-01 22:52:55.125155
Yes,matplotlib,matplotlib.collections,set_hatch,178,8,No,0,3,Found no referenced functions,self.set_hatch.(),ListType(types=[]),MemberExpr:178(  NameExpr(self [l])  set_hatch) ,2025-03-01 22:52:55.126258
Yes,matplotlib,matplotlib.collections,set_zorder,179,8,No,0,1,Found no referenced functions,self.set_zorder.(),ListType(types=[]),MemberExpr:179(  NameExpr(self [l])  set_zorder) ,2025-03-01 22:52:55.126258
Yes,matplotlib,matplotlib.collections,set_capstyle,182,12,No,0,5,Found no referenced functions,self.set_capstyle.(),ListType(types=[]),MemberExpr:182(  NameExpr(self [l])  set_capstyle) ,2025-03-01 22:52:55.126258
Yes,matplotlib,matplotlib.collections,set_joinstyle,187,12,No,0,5,Found no referenced functions,self.set_joinstyle.(),ListType(types=[]),MemberExpr:187(  NameExpr(self [l])  set_joinstyle) ,2025-03-01 22:52:55.127259
Yes,matplotlib,matplotlib.collections,_internal_update,201,8,No,0,1,Found no referenced functions,self._internal_update.(),ListType(types=[]),MemberExpr:201(  NameExpr(self [l])  _internal_update) ,2025-03-01 22:52:55.127259
Yes,matplotlib,matplotlib.collections,__init__,994,8,Yes,8,167,,super.().__init__.(),matplotlib.collections.PathCollection,,2025-03-01 22:52:55.148060
Yes,matplotlib,matplotlib.collections,set_paths,995,8,Yes,1,3,,self.set_paths.(),"NamedType(name='PathCollection', qname='matplotlib.collections.PathCollection')",,2025-03-01 22:52:55.149064
Yes,matplotlib,matplotlib.collections,set_sizes,996,8,No,1,1,Found same amount of functions,self.set_sizes.(),"NamedType(name='PathCollection', qname='matplotlib.collections.PathCollection')",,2025-03-01 22:52:55.150061
Yes,matplotlib,matplotlib.collections,make_keyword_only,1149,5,No,0,1,No call reference,,None,,2025-03-01 22:52:55.151060
Yes,matplotlib,matplotlib.collections,__init__,1170,8,Yes,8,167,,super.().__init__.(),matplotlib.collections.PolyCollection,,2025-03-01 22:52:55.157254
Yes,matplotlib,matplotlib.collections,set_sizes,1171,8,No,1,1,Found same amount of functions,self.set_sizes.(),"NamedType(name='PolyCollection', qname='matplotlib.collections.PolyCollection')",,2025-03-01 22:52:55.158255
Yes,matplotlib,matplotlib.collections,set_verts,1172,8,No,1,1,Found same amount of functions,self.set_verts.(),"NamedType(name='PolyCollection', qname='matplotlib.collections.PolyCollection')",,2025-03-01 22:52:55.159271
Yes,matplotlib,matplotlib.collections,__init__,1271,8,Yes,4,166,,super.().__init__.(),matplotlib.collections.BrokenBarHCollection,,2025-03-01 22:52:55.165339
Yes,matplotlib,matplotlib.collections,make_keyword_only,1280,5,No,0,1,No call reference,,None,,2025-03-01 22:52:55.167401
Yes,matplotlib,matplotlib.collections,__init__,1315,8,Yes,8,167,,super.().__init__.(),matplotlib.collections.RegularPolyCollection,,2025-03-01 22:52:55.173520
Yes,matplotlib,matplotlib.collections,set_sizes,1316,8,No,1,1,Found same amount of functions,self.set_sizes.(),"NamedType(name='RegularPolyCollection', qname='matplotlib.collections.RegularPolyCollection')",,2025-03-01 22:52:55.175515
Yes,matplotlib,matplotlib.collections,set_transform,1320,8,Yes,1,6,,self.set_transform.(),"NamedType(name='RegularPolyCollection', qname='matplotlib.collections.RegularPolyCollection')",,2025-03-01 22:52:55.176516
Yes,matplotlib,matplotlib.collections,__init__,1409,8,Yes,14,166,,super.().__init__.(),matplotlib.collections.LineCollection,,2025-03-01 22:52:55.183698
