Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,seaborn,seaborn.categorical,color_palette,696,21,No,1,1,Found same amount of functions,color_palette.(),seaborn.palettes.color_palette,,2025-02-21 11:51:34.207788
Yes,seaborn,seaborn.categorical,color_palette,700,21,No,1,1,Found same amount of functions,color_palette.(),seaborn.palettes.color_palette,,2025-02-21 11:51:34.208818
Yes,seaborn,seaborn.categorical,color_palette,703,21,No,1,1,Found same amount of functions,color_palette.(),seaborn.palettes.color_palette,,2025-02-21 11:51:34.210790
Yes,seaborn,seaborn.categorical,husl_palette,670,25,No,1,1,Found same amount of functions,husl_palette.(),seaborn.palettes.husl_palette,,2025-02-21 11:51:34.211802
Yes,seaborn,seaborn.categorical,light_palette,681,29,No,1,1,Found same amount of functions,light_palette.(),seaborn.palettes.light_palette,,2025-02-21 11:51:34.212806
Yes,seaborn,seaborn.categorical,dark_palette,683,29,No,1,1,Found same amount of functions,dark_palette.(),seaborn.palettes.dark_palette,,2025-02-21 11:51:34.213789
Yes,seaborn,seaborn.categorical,set_xticklabels,754,12,No,0,1,Found no referenced functions,ax.set_xticklabels.(),ax,MemberExpr:754(  NameExpr(ax [l])  set_xticklabels) Type is Any No missing import name ,2025-02-21 11:51:34.226820
Yes,seaborn,seaborn.categorical,set_yticklabels,757,12,No,0,1,Found no referenced functions,ax.set_yticklabels.(),ax,MemberExpr:757(  NameExpr(ax [l])  set_yticklabels) Type is Any No missing import name ,2025-02-21 11:51:34.226820
Yes,seaborn,seaborn.categorical,legend,767,12,No,0,0,Found no referenced functions,ax.legend.(),ax,MemberExpr:767(  NameExpr(ax [l])  legend) Type is Any No missing import name ,2025-02-21 11:51:34.227787
Yes,seaborn,seaborn.relational,locator_to_legend_entries,246,47,No,0,1,Found no referenced functions,locator_to_legend_entries.(),seaborn.utils.locator_to_legend_entries,,2025-02-21 11:51:34.229820
Yes,seaborn,seaborn.relational,locator_to_legend_entries,278,49,No,0,1,Found no referenced functions,locator_to_legend_entries.(),seaborn.utils.locator_to_legend_entries,,2025-02-21 11:51:34.230823
Yes,seaborn,seaborn.relational,update,256,12,No,1,1,Found same amount of functions,update.(),seaborn.relational._RelationalPlotter.update,,2025-02-21 11:51:34.230823
Yes,seaborn,seaborn.relational,update,263,16,No,1,1,Found same amount of functions,update.(),seaborn.relational._RelationalPlotter.update,,2025-02-21 11:51:34.231787
Yes,seaborn,seaborn.relational,update,288,12,No,1,1,Found same amount of functions,update.(),seaborn.relational._RelationalPlotter.update,,2025-02-21 11:51:34.231787
Yes,seaborn,seaborn.relational,update,295,16,No,1,1,Found same amount of functions,update.(),seaborn.relational._RelationalPlotter.update,,2025-02-21 11:51:34.232786
Yes,seaborn,seaborn.relational,update,306,12,No,1,1,Found same amount of functions,update.(),seaborn.relational._RelationalPlotter.update,,2025-02-21 11:51:34.232786
Yes,seaborn,seaborn.relational,update,314,20,No,1,1,Found same amount of functions,update.(),seaborn.relational._RelationalPlotter.update,,2025-02-21 11:51:34.232786
Yes,seaborn,seaborn.categorical,remove_na,814,38,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:34.240787
Yes,seaborn,seaborn.categorical,remove_na,842,42,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:34.241791
Yes,seaborn,seaborn.categorical,boxplot,820,30,No,0,1,Found no referenced functions,ax.boxplot.(),ax,MemberExpr:820(  NameExpr(ax [l])  boxplot) Type is Any No missing import name ,2025-02-21 11:51:34.243803
Yes,seaborn,seaborn.categorical,boxplot,849,34,No,0,1,Found no referenced functions,ax.boxplot.(),ax,MemberExpr:849(  NameExpr(ax [l])  boxplot) Type is Any No missing import name ,2025-02-21 11:51:34.244820
Yes,seaborn,seaborn.categorical,restyle_boxplot,827,16,No,1,1,Found same amount of functions,self.restyle_boxplot.(),"NamedType(name='_BoxPlotter', qname='seaborn.categorical._BoxPlotter')",,2025-02-21 11:51:34.245788
Yes,seaborn,seaborn.categorical,restyle_boxplot,855,20,No,1,1,Found same amount of functions,self.restyle_boxplot.(),"NamedType(name='_BoxPlotter', qname='seaborn.categorical._BoxPlotter')",,2025-02-21 11:51:34.245788
Yes,seaborn,seaborn.categorical,add_legend_data,835,24,No,1,1,Found same amount of functions,self.add_legend_data.(),"NamedType(name='_BoxPlotter', qname='seaborn.categorical._BoxPlotter')",,2025-02-21 11:51:34.246798
Yes,seaborn,seaborn.categorical,update,861,12,No,0,1,Found no referenced functions,box.update.(),box,MemberExpr:861(  NameExpr(box [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.249833
Yes,seaborn,seaborn.categorical,update,865,12,No,0,1,Found no referenced functions,box.update.(),box,MemberExpr:865(  NameExpr(box [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.250810
Yes,seaborn,seaborn.categorical,update,867,12,No,0,1,Found no referenced functions,whisk.update.(),whisk,MemberExpr:867(  NameExpr(whisk [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.251790
