Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
No,sklearn,sklearn.covariance._robust_covariance,516,20,IndexExpr,None,,"Any, Any",2025-03-01 06:44:12.892869
No,sklearn,sklearn.covariance._shrunk_covariance,142,18,OpExpr,float,,OpExpr,2025-03-01 06:44:13.227777
No,sklearn,sklearn.covariance._shrunk_covariance,340,19,OpExpr,int,,OpExpr,2025-03-01 06:44:13.295619
No,sklearn,sklearn.covariance._shrunk_covariance,349,41,OpExpr,int,,OpExpr,2025-03-01 06:44:13.310602
No,sklearn,sklearn.covariance._shrunk_covariance,350,41,OpExpr,int,,OpExpr,2025-03-01 06:44:13.314597
No,sklearn,sklearn.covariance._shrunk_covariance,353,37,OpExpr,int,,OpExpr,2025-03-01 06:44:13.340147
No,sklearn,sklearn.covariance._shrunk_covariance,357,37,OpExpr,int,,OpExpr,2025-03-01 06:44:13.365122
No,sklearn,sklearn.datasets._arff_parser,249,24,OpExpr,None,,OpExpr,2025-03-01 06:44:14.375654
No,sklearn,sklearn.datasets._arff_parser,399,53,OpExpr,None,,OpExpr,2025-03-01 06:44:14.487634
No,sklearn,sklearn.datasets._covtype,188,9,OpExpr,bool,,OpExpr,2025-03-01 06:44:15.181760
No,sklearn,sklearn.datasets._lfw,216,12,OpExpr,int,,OpExpr,2025-03-01 06:44:15.678814
No,sklearn,sklearn.datasets._openml,39,49,OpExpr,str,,OpExpr,2025-03-01 06:44:15.919669
No,sklearn,sklearn.datasets._openml,145,18,OpExpr,str,,OpExpr,2025-03-01 06:44:15.945035
No,sklearn,sklearn.datasets._openml,531,24,OpExpr,"UnionType[Dict[Any, Any], None]",,OpExpr,2025-03-01 06:44:16.070415
No,sklearn,sklearn.datasets._openml,1026,7,OpExpr,"UnionType[str, bool]",,OpExpr,2025-03-01 06:44:16.226526
No,sklearn,sklearn.datasets._rcv1,184,7,OpExpr,bool,,OpExpr,2025-03-01 06:44:16.341035
No,sklearn,sklearn.datasets._rcv1,210,7,OpExpr,bool,,OpExpr,2025-03-01 06:44:16.417955
